#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T01:10:00Z,421,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T01:20:00Z,429,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T01:30:00Z,433,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T01:40:00Z,432,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T01:50:00Z,430,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T02:00:00Z,429,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T02:10:00Z,423,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T02:20:00Z,421,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T02:30:00Z,416,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T02:40:00Z,413,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T02:50:00Z,410,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T03:00:00Z,408,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T03:10:00Z,400,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T03:20:00Z,400,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T03:30:00Z,394,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T03:40:00Z,393,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T03:50:00Z,391,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T04:00:00Z,391,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T04:10:00Z,388,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T04:20:00Z,385,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T04:30:00Z,388,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T04:40:00Z,388,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T04:50:00Z,382,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T05:00:00Z,382,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T05:10:00Z,380,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T05:20:00Z,379,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T05:30:00Z,377,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T05:40:00Z,369,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T05:50:00Z,361,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T06:00:00Z,303,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T06:10:00Z,313,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T06:20:00Z,263,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T06:30:00Z,274,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T06:40:00Z,280,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T06:50:00Z,284,adc,ccs811
,,0,2021-03-19T23:31:28.717141286Z,2021-03-21T23:31:28.717141286Z,2021-03-20T07:00:00Z,288,adc,ccs811
